unique_location,count(nik),koordinat
JAWA BARAT_DEPOK_CILODONG_KALIMULYA,11404,"(-6.4340499999999565, 106.82173000000006, 'Kalimulya, Cilodong, Jawa Barat')"
JAWA BARAT_DEPOK_CILODONG_SUKAMAJU,44989,"(-6.407879999999977, 106.85585000000003, 'Sukamaju, Cilodong, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_SIRNAGALIH,4863,"(-7.291979999999967, 108.20601000000005, 'Sirnagalih, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_SUKAMAJU KALER,8004,"(-7.278329999999926, 108.18962000000005, 'Sukamajukaler, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_SUKAMAJU KIDUL,6019,"(-7.286769999999933, 108.18736000000007, 'Sukamajukidul, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_CIBEUTI,7310,"(-7.388309999999933, 108.18131000000005, 'Cibeuti, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_CILAMAJANG,5511,"(-7.3738199999999665, 108.19652000000008, 'Cilamajang, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_GUNUNG GEDE,5661,"(-7.399699999999939, 108.21183000000008, 'Gununggede, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_KARANG ANYAR,6946,"(-7.369819999999947, 108.18435000000005, 'Karanganyar, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_KARSAMENAK,11106,"(-7.379169999999931, 108.20985000000007, 'Karsamenak, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_LEUWILIANG,4383,"(-7.4204899999999725, 108.18733000000009, 'Leuwiliang, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_TALAGASARI,4887,"(-7.3961799999999585, 108.20364000000006, 'Talagasari, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_TANJUNG,5830,"(-7.400459999999953, 108.18790000000007, 'Tanjung, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_URUG,6162,"(-7.4188499999999635, 108.19970000000006, 'Urug, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_CIGANTANG,7198,"(-7.3600099999999316, 108.18861000000004, 'Cigantang, Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_CIPARI,6567,"(-7.344989999999939, 108.17506000000009, 'Cipari, Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_CIPAWITRA,5268,"(-7.337499999999977, 108.15687000000008, 'Cipawitra, Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_KARAWANG KULON,14834,"(-6.3126799999999434, 107.28425000000004, 'Karawang Kulon, Karawang Barat, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_MEKARJATI,10323,"(-6.247019999999964, 107.29644000000008, 'Mekarjati, Karawang Barat, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_NAGASARI,15891,"(-6.278849999999977, 107.31545000000006, 'Nagasari, Karawang Barat, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG BARAT_TANJUNG MEKAR,10798,"(-6.273049999999955, 107.28196000000008, 'Tanjungmekar, Karawang Barat, Jawa Barat')"
JAWA BARAT_BANDUNG_ANTAPANI_ANTAPANI KIDUL,17576,"(-6.9221299999999815, 107.65979000000004, 'Antapani Kidul, Antapani, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ANTAPANI_ANTAPANI KULON,6973,"(-6.910139999999956, 107.65641000000005, 'Antapani Kulon, Antapani, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ANTAPANI_ANTAPANI TENGAH,15402,"(-6.91739999999993, 107.65954000000005, 'Antapani Tengah, Antapani, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ANTAPANI_ANTAPANI WETAN,11616,"(-6.908929999999941, 107.66380000000004, 'Antapani Wetan, Antapani, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ARCAMANIK_CISARANTEN BINA HARAPAN,7949,"(-6.909649999999942, 107.68415000000005, 'Cisaranten Bina Harapan, Arcamanik, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ARCAMANIK_CISARANTEN ENDAH,12799,"(-6.930159999999944, 107.67164000000008, 'Cisaranten Endah, Arcamanik, Bandung, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_KAWALU_GUNUNG TANDALA,6786,"(-7.385429999999928, 108.21979000000005, 'Gunungtandala, Kawalu, Tasikmalaya, Jawa Barat')"
JAWA BARAT_BEKASI_CIBITUNG_WANASARI,61434,"(-6.232689999999934, 107.09299000000004, 'Wanasari, Cibitung, Bekasi, Jawa Barat')"
JAWA BARAT_BANDUNG_DAYEUHKOLOT_PASAWAHAN,7283,"(-6.97506999999996, 107.61078000000003, 'Pasawahan, Dayeuhkolot, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KIDUL_KUJANGSARI,14734,"(-6.962079999999958, 107.64426000000009, 'Kujangsari, Bandung Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KIDUL_MENGGER,6996,"(-6.959989999999948, 107.62892000000005, 'Mengger, Bandung Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KULON_CARINGIN,6697,"(-6.931799999999953, 107.57103000000006, 'Caringin, Bandung Kulon, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KULON_CIBUNTU,12361,"(-6.919179999999926, 107.57291000000004, 'Cibuntu, Bandung Kulon, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KULON_CIGONDEWAH KALER,12373,"(-6.935289999999952, 107.56274000000008, 'Cigondewah Kaler, Bandung Kulon, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KULON_CIGONDEWAH KIDUL,6078,"(-6.941669999999931, 107.56459000000007, 'Cigondewah Kidul, Bandung Kulon, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG KULON_CIGONDEWAH RAHAYU,7192,"(-6.94933999999995, 107.56540000000007, 'Cigondewah Rahayu, Bandung Kulon, Bandung, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_PABUARAN MEKAR,14656,"(-6.4467299999999454, 106.84815000000003, 'Pabuaran Mekar, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_PANCORAN MAS_MAMPANG,16934,"(-6.394969999999944, 106.79795000000007, 'Mampang, Pancoran Mas, Jawa Barat')"
JAWA BARAT_DEPOK_PANCORAN MAS_PANCORAN MAS,37786,"(-6.400109999999927, 106.81007000000005, 'Pancoran Mas, Jawa Barat')"
JAWA BARAT_KUNINGAN_CILIMUS_LINGGAJATI,3004,"(-6.875609999999938, 108.47019000000006, 'Linggajati, Cilimus, Jawa Barat')"
JAWA BARAT_BOGOR_SUKAJAYA_PASIRMADANG,3341,"(-6.594139999999925, 106.46693000000005, 'Pasir Madang, Sukajaya, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_TAPOS_JATIJAJAR,23738,"(-6.4126399999999535, 106.86669000000006, 'Jatijajar, Tapos, Jawa Barat')"
JAWA BARAT_DEPOK_TAPOS_SUKAMAJU BARU,27000,"(-6.40582999999998, 106.87701000000004, 'Sukamaju Baru, Tapos, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_KUNINGAN,8990,"(-6.9758299999999736, 108.48306000000008, 'Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_PURWAWINANGUN,11231,"(-6.972059999999942, 108.48620000000005, 'Purwawinangun, Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_WINDUHAJI,4401,"(-6.985959999999977, 108.49834000000004, 'Winduhaji, Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_WINDUSENGKAHAN,2082,"(-6.979629999999929, 108.50035000000008, 'Windusengkahan, Kuningan, Jawa Barat')"
JAWA BARAT_SUBANG_CIPEUNDUEY_BANGGALAMULYA,2610,"(-6.570539999999937, 107.60351000000009, 'Banggalamulya, Kalijati, Jawa Barat')"
JAWA BARAT_SUBANG_CIPEUNDUEY_CIMAYASARI,4277,"(-6.5515799999999444, 107.57083000000006, 'Cimayasari, Cipeundeuy, Jawa Barat')"
JAWA BARAT_SUBANG_CIPEUNDUEY_CIPEUNDEUY,6301,"(-6.507879999999943, 107.60778000000005, 'Cipeundeuy, Jawa Barat')"
JAWA BARAT_SUBANG_CIPEUNDUEY_JATUPANG,2686,"(-6.507879999999943, 107.60778000000005, 'Cipeundeuy, Jawa Barat')"
JAWA BARAT_SUBANG_CIPEUNDUEY_LENGKONG,5674,"(-6.510099999999966, 107.61927000000009, 'Lengkong, Cipeundeuy, Jawa Barat')"
JAWA BARAT_SUBANG_CIPEUNDUEY_SAWANGAN,4322,"(-6.462419999999952, 107.61351000000008, 'Sawangan, Cipeundeuy, Jawa Barat')"
JAWA BARAT_BOGOR_TAJURHALANG_SASAKPANJANG,16945,"(-6.457939999999951, 106.76245000000006, 'Sasak Panjang, Tajur Halang, Bogor, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_PARUNG,6627,"(-6.585679999999968, 107.74053000000004, 'Parung, Subang, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_PASIRKAREUMBI,11147,"(-6.5789199999999255, 107.74971000000005, 'Pasirkareumbi, Subang, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_SOKLAT,9298,"(-6.571709999999939, 107.76813000000004, 'Soklat, Subang, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_SUKAMELANG,11477,"(-6.538629999999955, 107.77470000000005, 'Sukamelang, Subang, Jawa Barat')"
JAWA BARAT_SUBANG_SUBANG_WANAREJA,3831,"(-6.58021999999994, 107.81374000000005, 'Wanareja, Subang, Jawa Barat')"
JAWA BARAT_BEKASI_BABELAN_BAHAGIA,53437,"(-6.187049999999942, 107.01173000000006, 'Bahagia, Babelan, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BABELAN_KEBALEN,29635,"(-6.1868899999999485, 107.03907000000004, 'Kebalen, Babelan, Bekasi, Jawa Barat')"
JAWA BARAT_BOGOR_CIGUDEG_TEGAL LEGA,5469,"(-6.4685499999999365, 106.58646000000005, 'Tegalega, Cigudeg, Bogor, Jawa Barat')"
JAWA BARAT_BANJAR_BANJAR_BANJAR,11591,"(-7.371939999999938, 108.52758000000006, 'Banjar, Jawa Barat')"
JAWA BARAT_BOGOR_CIGOMBONG_PASIR JAYA,5022,"(-6.725209999999947, 106.78897000000006, 'Pasir Jaya, Cigombong, Bogor, Jawa Barat')"
JAWA BARAT_MAJALENGKA_CIGASONG_CIGASONG,3971,"(-6.835419999999942, 108.25658000000004, 'Cigasong, Jawa Barat')"
JAWA BARAT_MAJALENGKA_CIGASONG_SIMPEUREUM,2219,"(-6.83197999999993, 108.26197000000008, 'Simpeureum, Cigasong, Jawa Barat')"
JAWA BARAT_MAJALENGKA_TALAGA_MEKAR RAHARJA,2728,"(-6.977289999999925, 108.28903000000008, 'Mekarraharja, Talaga, Jawa Barat')"
JAWA BARAT_KARAWANG_KARAWANG TIMUR_PLAWAD,8239,"(-6.299339996790202, 107.31982496907926, 'Jalan Plawad, Karawang Timur, Jawa Barat, 41321')"
JAWA BARAT_BANDUNG_BANDUNG KIDUL_WATES,5524,"(-6.959039999999959, 107.61298000000005, 'Wates, Bandung Kidul, Bandung, Jawa Barat')"
JAWA BARAT_DEPOK_TAPOS_LEUWINANGGUNG,7991,"(-6.407699999999977, 106.90392000000008, 'Leuwinanggung, Tapos, Jawa Barat')"
JAWA BARAT_MAJALENGKA_CIGASONG_CICENANG,3266,"(-6.822909999999979, 108.24905000000007, 'Cicenang, Cigasong, Jawa Barat')"
JAWA BARAT_BANDUNG_RANCAEKEK_RANCAEKEK KENCANA,15575,"(-6.976949999999931, 107.75687000000005, 'Rancaekek Kencana, Rancaekek, Bandung, Jawa Barat')"
JAWA BARAT_MAJALENGKA_JATIWANGI_CIBORELANG,7054,"(-6.729399999999941, 108.26668000000006, 'Ciborelang, Jatiwangi, Jawa Barat')"
JAWA BARAT_MAJALENGKA_KADIPATEN_BABAKAN ANYAR,1598,"(-6.748209999999972, 108.15800000000007, 'Babakan Anyar, Kadipaten, Jawa Barat')"
JAWA BARAT_CIAMIS_CIAMIS_KERTASARI,8017,"(-7.329909999999927, 108.36888000000005, 'Kertasari, Ciamis, Jawa Barat')"
JAWA BARAT_CIAMIS_CIAMIS_LINGGASARI,5051,"(-7.338729999999941, 108.33942000000008, 'Linggasari, Ciamis, Jawa Barat')"
JAWA BARAT_CIAMIS_CIAMIS_MALEBER,7429,"(-7.320319999999981, 108.34848000000005, 'Maleber, Ciamis, Jawa Barat')"
JAWA BARAT_CIAMIS_CIAMIS_SINDANGRASA,7818,"(-7.319819999999936, 108.31690000000003, 'Sindangrasa, Ciamis, Jawa Barat')"
JAWA BARAT_DEPOK_SUKMAJAYA_CISALAK,11499,"(-6.3814499999999725, 106.86063000000007, 'Cisalak, Sukma Jaya, Jawa Barat')"
JAWA BARAT_DEPOK_SUKMAJAYA_MEKAR JAYA,39504,"(-6.390049999999974, 106.83775000000009, 'Mekar Jaya, Sukma Jaya, Jawa Barat')"
JAWA BARAT_DEPOK_SUKMAJAYA_SUKMAJAYA,19788,"(-6.4163599999999406, 106.84185000000008, 'Sukmajaya, Sukma Jaya, Jawa Barat')"
JAWA BARAT_INDRAMAYU_BALONGAN_TEGAL SEMBADRA,2614,"(-6.382999999999981, 108.37022000000007, 'Tegalsembadra, Balongan, Jawa Barat')"
JAWA BARAT_PURWAKARTA_WANAYASA_TARINGGULTENGAH,2581,"(-6.63167999999996, 107.51698000000005, 'Taringgul Tengah, Wanayasa, Jawa Barat')"
JAWA BARAT_PURWAKARTA_WANAYASA_TARINGGULTONGGOH,2621,"(-6.636499999999955, 107.52197000000007, 'Taringgul Tonggoh, Wanayasa, Jawa Barat')"
JAWA BARAT_SUBANG_BLANAKAN_CILAMAYA GIRANG,6417,"(-6.269649999999956, 107.60137000000009, 'Cilamaya Girang, Blanakan, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_SETIAMULYA,5257,"(-7.38552999999996, 108.22796000000005, 'Setiamulya, Taman Sari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_SETIAWARGI,8265,"(-7.417159999999967, 108.24590000000006, 'Setiawargi, Taman Sari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_SUKAHURIP,5631,"(-7.371799999999951, 108.23570000000007, 'Sukahurip, Taman Sari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_SUMELAP,3688,"(-7.369179999999972, 108.24810000000008, 'Sumelap, Taman Sari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_TAMANJAYA,6630,"(-7.386099999999942, 108.23848000000004, 'Tamanjaya, Taman Sari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAMANSARI_TAMANSARI,6533,"(-7.530399999999929, 108.29860000000008, 'Tamansari, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAWANG_CIKALANG,9173,"(-7.334799999999973, 108.23173000000008, 'Cikalang, Tawang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAWANG_EMPANGSARI,5104,"(-7.328659999999957, 108.22413000000006, 'Empangsari, Tawang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_TAWANG_KAHURIPAN,13898,"(-7.348629999999957, 108.22612000000004, 'Kahuripan, Tawang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_PAMOYANAN,9416,"(-6.6445999999999685, 106.80699000000004, 'Pamoyanan, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_RANCAMAYA,4466,"(-6.6699899999999275, 106.83175000000006, 'Rancamaya, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_RANGGAMEKAR,9795,"(-6.628669999999943, 106.80837000000008, 'Ranggamekar, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_CINERE_CINERE,20281,"(-6.3250399999999445, 106.78453000000007, 'Cinere, Jawa Barat')"
JAWA BARAT_DEPOK_CINERE_GANDUL,16178,"(-6.339369999999974, 106.78896000000009, 'Gandul, Cinere, Jawa Barat')"
JAWA BARAT_DEPOK_CINERE_PANGKALAN JATI,11330,"(-6.320379999999943, 106.79292000000004, 'Pangkalanjati, Cinere, Jawa Barat')"
JAWA BARAT_DEPOK_CINERE_PANGKALAN JATI BARU,6366,"(-6.324539999999956, 106.80246000000005, 'Pangkalanjati Baru, Cinere, Jawa Barat')"
JAWA BARAT_GARUT_PASIRWANGI_PADAAWAS,5446,"(-7.203109999999981, 107.72632000000004, 'Padaawas, Pasirwangi, Jawa Barat')"
JAWA BARAT_KUNINGAN_CINIRU_CIJEMIT,1779,"(-7.048999999999978, 108.49840000000006, 'Cijemit, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI TENGAH_PADASUKA,25424,"(-6.868889999999965, 107.53214000000008, 'Padasuka, Cimahi Tengah, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI TENGAH_SETIAMANAH,14915,"(-6.87782999999996, 107.53570000000008, 'Setiamanah, Cimahi Tengah, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI UTARA_CIBABAT,35857,"(-6.870909999999981, 107.55759000000006, 'Cibabat, Cimahi Utara, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI UTARA_CIPAGERAN,32542,"(-6.850779999999929, 107.54165000000006, 'Cipageran, Cimahi Utara, Jawa Barat')"
JAWA BARAT_CIAMIS_TAMBAKSARI_KARANGPANINGGAL,2509,"(-7.271849999999972, 108.55729000000008, 'Karangpaningal, Tambaksari, Jawa Barat')"
JAWA BARAT_CIANJUR_AGRABINTA_TANJUNGSARI,2861,"(-7.430759999999964, 106.95411000000007, 'Tanjungsari, Agrabinta, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_AWIRARANGAN,6765,"(-6.981089999999938, 108.48808000000008, 'Awirarangan, Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_CIGINTUNG,2258,"(-6.958559999999977, 108.48914000000008, 'Cigintung, Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_CIJOHO,6793,"(-6.969899999999939, 108.49812000000009, 'Cijoho, Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_CIPORANG,5303,"(-6.966219999999964, 108.50361000000004, 'Ciporang, Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_CIRENDANG,4009,"(-6.953429999999969, 108.48867000000007, 'Cirendang, Kuningan, Jawa Barat')"
JAWA BARAT_KUNINGAN_KUNINGAN_CITANGTU,3794,"(-6.999969999999962, 108.49383000000006, 'Citangtu, Kuningan, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR TENGAH_TEGALLEGA,12004,"(-6.598739999999964, 106.81103000000007, 'Tegallega, Bogor Tengah, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR TIMUR_BARANANGSIANG,17975,"(-6.611769999999979, 106.81465000000009, 'Baranangsiang, Bogor Timur, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR TIMUR_KATULAMPA,19406,"(-6.62092999999993, 106.82236000000006, 'Katulampa, Bogor Timur, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR TIMUR_SINDANGRASA,9706,"(-6.636359999999968, 106.83694000000008, 'Sindangrasa, Bogor Timur, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_CIPAYUNG_CIPAYUNG,17758,"(-6.4376799999999434, 106.80755000000005, 'Cipayung, Jawa Barat')"
JAWA BARAT_DEPOK_CIPAYUNG_CIPAYUNG JAYA,11757,"(-6.437409999999943, 106.79551000000004, 'Cipayung Jaya, Cipayung, Jawa Barat')"
JAWA BARAT_DEPOK_CIPAYUNG_PONDOK JAYA,17285,"(-6.4332299999999805, 106.81104000000005, 'Pondok Jaya, Cipayung, Jawa Barat')"
JAWA BARAT_DEPOK_CIPAYUNG_RATU JAYA,22663,"(-6.424949999999967, 106.81202000000008, 'Ratujaya, Cipayung, Jawa Barat')"
JAWA BARAT_DEPOK_LIMO_GROGOL,15077,"(-6.37677999999994, 106.79001000000005, 'Grogol, Limo, Jawa Barat')"
JAWA BARAT_INDRAMAYU_SLIYEG_TUGU KIDUL,4187,"(-6.434819999999945, 108.36654000000004, 'Tugu Kidul, Sliyeg, Jawa Barat')"
JAWA BARAT_PURWAKARTA_KIARAPEDES_KIARAPEDES,2253,"(-6.672469999999976, 107.58893000000006, 'Kiarapedes, Jawa Barat')"
JAWA BARAT_BEKASI_RAWA LUMBU_BOJONG MENTENG,22019,"(-6.299269999999979, 106.98446000000007, 'Bojong Menteng, Rawalumbu, Bekasi, Jawa Barat')"
JAWA BARAT_DEPOK_BOJONGSARI_DUREN MEKAR,10267,"(-6.416049999999927, 106.74051000000009, 'Duren Mekar, Bojongsari, Jawa Barat')"
JAWA BARAT_DEPOK_BOJONGSARI_PONDOK PETIR,13058,"(-6.369399999999928, 106.72517000000005, 'Pondok Petir, Bojongsari, Jawa Barat')"
JAWA BARAT_DEPOK_BOJONGSARI_SERUA,10700,"(-6.368609999999933, 106.73682000000008, 'Serua, Bojongsari, Jawa Barat')"
JAWA BARAT_DEPOK_CILODONG_CILODONG,11638,"(-6.427589999999952, 106.83630000000005, 'Cilodong, Jawa Barat')"
JAWA BARAT_DEPOK_CILODONG_KALIBARU,17846,"(-6.435819999999978, 106.83469000000008, 'Kalibaru, Cilodong, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI SELATAN_UTAMA,21763,"(-6.902499999999975, 107.54082000000005, 'Utama, Cimahi Selatan, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI TENGAH_BAROS,12899,"(-6.888069999999971, 107.53722000000005, 'Baros, Cimahi Tengah, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI TENGAH_CIGUGUR TENGAH,30566,"(-6.89916999999997, 107.55167000000006, 'Cigugur Tengah, Cimahi Tengah, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI TENGAH_CIMAHI,8899,"(-6.871919999999932, 107.54876000000007, 'Cimahi, Cimahi Tengah, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI TENGAH_KARANGMEKAR,10978,"(-6.881129999999928, 107.54370000000006, 'Karangmekar, Cimahi Tengah, Jawa Barat')"
JAWA BARAT_DEPOK_TAPOS_TAPOS,10284,"(-6.418769999999938, 106.89267000000007, 'Tapos, Jawa Barat')"
JAWA BARAT_SUKABUMI_BAROS_BAROS,10907,"(-6.959129999999959, 106.92559000000006, 'Baros, Sukabumi, Jawa Barat')"
JAWA BARAT_DEPOK_CIPAYUNG_BOJONG PONDOK TERONG,21144,"(-6.435839999999928, 106.80414000000007, 'Bojong Pondok Terong, Cipayung, Jawa Barat')"
JAWA BARAT_BOGOR_CISARUA_CISARUA,6434,"(-6.6801099999999565, 106.93231000000009, 'Cisarua, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_BOJONGSARI_DUREN SERIBU,8048,"(-6.432209999999941, 106.75004000000007, 'Duren Seribu, Bojongsari, Jawa Barat')"
JAWA BARAT_DEPOK_CILODONG_JATIMULYA,7699,"(-6.444919999999968, 106.82974000000007, 'Jatimulya, Cilodong, Jawa Barat')"
JAWA BARAT_DEPOK_TAPOS_SUKATANI,35882,"(-6.39471999999995, 106.89113000000003, 'Sukatani, Tapos, Jawa Barat')"
JAWA BARAT_CIAMIS_SUKAMANTRI_TENGGERAHARJA,1902,"(-7.07153999999997, 108.27973000000009, 'Sukamantri, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI UTARA_CITEUREUP,25446,"(-6.86197999999996, 107.55003000000005, 'Citeureup, Cimahi Utara, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI UTARA_PASIRKALIKI,12940,"(-6.883149999999944, 107.56641000000008, 'Pasirkaliki, Cimahi Utara, Jawa Barat')"
JAWA BARAT_CIREBON_HARJAMUKTI_ARGASUNYA,13863,"(-6.7736999999999625, 108.53744000000006, 'Argasunya, Harjamukti, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_HARJAMUKTI_HARJAMUKTI,15117,"(-6.755269999999939, 108.54927000000004, 'Harjamukti, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_HARJAMUKTI_KECAPI,16391,"(-6.745159999999942, 108.55852000000004, 'Kecapi, Harjamukti, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_HARJAMUKTI_LARANGAN,11451,"(-6.74828999999994, 108.56474000000009, 'Larangan, Harjamukti, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_KEJAKSAN_KEBON BARU,6314,"(-6.70614999999998, 108.56143000000009, 'Kebonbaru, Kejaksan, Cirebon, Jawa Barat')"
